Name,Team,Role,Batting Style,Bowling Style
Ritu Moni,Bangladesh,Allrounder,Right hand Bat,Right arm Medium
Riyan Parag,India,Top order Batter,Right hand Bat,Legbreak
Rizwan Ahmed,Pakistan,Allrounder,Right hand Bat,Legbreak Googly
Rob Cassell,Australia,Bowler,Left hand Bat,Right arm Fast medium
Rob Jones,England,Batter,Right hand Bat,Legbreak
Rob Key,England,Top order Batter,Right hand Bat,Right arm Offbreak
Rob Nicol,New Zealand,Opening Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Rob Quiney,Australia,Batter,Left hand Bat,Right arm Medium
Robbie Frylinck,South Africa,Allrounder,Right hand Bat,Right arm Medium
Robert Chimhinya,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Fast
Robert Kennedy,New Zealand,Bowler,Right hand Bat,Right arm Medium
Robin Peterson,South Africa,Bowler,Left hand Bat,Slow Left arm Orthodox
Robin Smith,England,Middle order Batter,Right hand Bat,Legbreak
Robin Uthappa,India,Batter,Right hand Bat,Right arm Medium
Robiul Haque,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Robiul Islam,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Rod Latham,New Zealand,Top order Batter,Right hand Bat,Right arm Medium
Rod Marsh,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Rodney Hogg,Australia,Bowler,Right hand Bat,Right arm Fast
Roger Binny,India,Bowling Allrounder,Right hand Bat,Right arm Medium
Roger Harper,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Roger Telemachus,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Roger Twose,New Zealand,Top order Batter,Left hand Bat,Right arm Medium
Roger Whelan,Ireland,Bowler,Right hand Bat,Right arm Medium fast
Rohail Nazir,Pakistan,Wicketkeeper Batter,Right hand Bat,
Rohan Banerjee,India,Opening Batter,Left hand Bat,Right arm Medium
Rohan Kanhai,West Indies,Top order Batter,Right hand Bat,Right arm Medium
Rohan Prem,India,Top order Batter,Left hand Bat,Right arm Offbreak
Rohanat Doullah Borson,Bangladesh,Bowler,Right hand Bat,Right arm Medium
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
Rokhan Barakzai,Afghanistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Roland Holder,West Indies,Middle order Batter,Right hand Bat,Right arm Medium
Roman Walker,England,Bowler,Right hand Bat,Right arm Fast medium
Romario Shepherd,West Indies,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Romesh Kaluwitharana,Sri Lanka,Wicketkeeper Batter,Right hand Bat,
Ronan Hermann,South Africa,Wicketkeeper Batter,Right hand Bat,
Roni Hossen,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Ronnie Hira,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Ronnie Irani,England,Allrounder,Right hand Bat,Right arm Medium
Ronsford Beaton,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Rony Talukdar,Bangladesh,Batter,Right hand Bat,Right arm Slow medium
Roosh Kalaria,India,Bowler,Right hand Bat,Left arm Medium
Rory Hamilton-Brown,England,Top order Batter,Right hand Bat,Right arm Offbreak
Rory Kleinveldt,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Rory McCann,Ireland,Wicketkeeper,Right hand Bat,
Rosemary Mair,New Zealand,Bowler,Right hand Bat,Right arm Medium
Roshan Mahanama,Sri Lanka,Batter,Right hand Bat,
Roshen Silva,Sri Lanka,Batter,Right hand Bat,Right arm Offbreak
Ross Adair,Ireland,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Ross Edwards,Australia,Middle order Batter,Right hand Bat,
Ross Taylor,New Zealand,Middle order Batter,Right hand Bat,Right arm Offbreak
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Rovman Powell,West Indies,Middle order Batter,Right hand Bat,Right arm Medium fast
Rowan Milburn,New Zealand,Wicketkeeper,Right hand Bat,
Roy Dias,Sri Lanka,Top order Batter,Right hand Bat,Right arm Offbreak
Roy Fredericks,West Indies,Opening Batter,Left hand Bat,Left arm Wrist spin
Roy Kaia,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Roy McLean,South Africa,Middle order Batter,Right hand Bat,
Royston Crandon,West Indies,Batter,Right hand Bat,Right arm Offbreak
Rubel Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Fast
Ruchira Perera,Sri Lanka,Bowler,Left hand Bat,Left arm Medium fast
Rukshan Shehan,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Rumana Ahmed,Bangladesh,Allrounder,Right hand Bat,Legbreak
Rumesh Ratnayake,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Rumman Raees,Pakistan,Bowler,Right hand Bat,Left arm Medium fast
Runako Morton,West Indies,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Russel Arnold,Sri Lanka,Middle order Batter,Left hand Bat,Right arm Offbreak
Russell Endean,South Africa,Opening Batter,Right hand Bat,
Ruturaj Gaikwad,India,Batter,Right hand Bat,Right arm Offbreak
Ruwan Kalpage,Sri Lanka,Batting Allrounder,Left hand Bat,Right arm Offbreak
Ruyel Miah,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
Ryan Austin,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Ryan Burl,Zimbabwe,Middle order Batter,Left hand Bat,Legbreak
Ryan Hadley,Australia,Bowler,Right hand Bat,Right arm Medium fast
Ryan Haire,Ireland,Batter,Left hand Bat,Legbreak
Ryan Harris,Australia,Bowler,Right hand Bat,Right arm Fast
Ryan Higgins,Zimbabwe,Middle order Batter,Right hand Bat,Legbreak
Ryan Higgins,England,Allrounder,Right hand Bat,Right arm Medium fast
Ryan Hinds,West Indies,Allrounder,Left hand Bat,Slow Left arm Orthodox
Ryan Kern,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Ryan McLaren,South Africa,Allrounder,Left hand Bat,Right arm Medium fast
Ryan Murray,Zimbabwe,Wicketkeeper,Right hand Bat,Right arm Offbreak
Ryan Patel,England,Batting Allrounder,Left hand Bat,Right arm Medium
Ryan Ramdass,West Indies,Opening Batter,Right hand Bat,Right arm Offbreak
Ryan Rickelton,South Africa,Wicketkeeper Batter,Left hand Bat,
Ryan Sidebottom,England,Bowler,Left hand Bat,Left arm Fast medium
S Badrinath,India,Middle order Batter,Right hand Bat,Right arm Offbreak
Saad Khan,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Saad Nasim,Pakistan,Allrounder,Right hand Bat,Legbreak
Saba Karim,India,Wicketkeeper Batter,Right hand Bat,
Saba Nazir,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Sabbhineni Meghana,India,Opening Batter,Right hand Bat,Right arm Medium
Sabbir Rahman,Bangladesh,Middle order Batter,Right hand Bat,Legbreak
Sachin Tendulkar,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Sachith Pathirana,Sri Lanka,Allrounder,Left hand Bat,Slow Left arm Orthodox
Sachitha Jayatilake,Sri Lanka,Allrounder,Right hand Bat,Legbreak
Sachithra Senanayake,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Sachithra Serasinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Sadagoppan Ramesh,India,Opening Batter,Left hand Bat,Right arm Offbreak
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,Right hand Bat,
Sadia Iqbal,Pakistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Sadiq Mohammad,Pakistan,Opening Batter,Left hand Bat,Legbreak Googly
Saeed Ahmed,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Saeed Ajmal,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Saeed Anwar,Pakistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Saeed Azad,Pakistan,Middle order Batter,Right hand Bat,Right arm Medium
Sahan Arachchige,Sri Lanka,Top order Batter,Left hand Bat,Right arm Offbreak
Sahan Wijeratne,Sri Lanka,Batter,Right hand Bat,Right arm Offbreak
Sahibzada Farhan,Pakistan,Middle order Batter,Right hand Bat,
Saif Badar,Pakistan,Middle order Batter,Right hand Bat,Legbreak Googly
Saif Hassan,Bangladesh,Top order Batter,Right hand Bat,Right arm Offbreak
Saif Zaib,England,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Saifullah Bangash,Pakistan,Wicketkeeper Batter,Right hand Bat,
Saim Ayub,Pakistan,Top order Batter,Left hand Bat,"Right arm Medium fast, Right arm Offbreak"
Sajedul Islam,Bangladesh,Allrounder,Left hand Bat,Left arm Medium
Sajeewa de Silva,Sri Lanka,Bowler,Left hand Bat,Left arm Fast medium
Sajeewa Weerakoon,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Sajid Khan,Pakistan,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Sajid Mahmood,England,Bowler,Right hand Bat,Right arm Fast medium
Sajjad Ahmed,Bangladesh,Top order Batter,Right hand Bat,Right arm Offbreak
Saleem Elahi,Pakistan,Opening Batter,Right hand Bat,Right arm Offbreak
Saleem Jaffar,Pakistan,Bowler,Right hand Bat,Left arm Fast medium
Saleem Malik,Pakistan,Batter,Right hand Bat,"Right arm Slow medium, Right arm Offbreak"
Saleem Yousuf,Pakistan,Wicketkeeper Batter,Right hand Bat,
Salim Durani,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Saliya Ahangama,Sri Lanka,Bowler,Left hand Bat,Right arm Medium
Salma Khatun,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Salman Butt,Pakistan,Batter,Left hand Bat,Right arm Offbreak
Salman Hossain,Bangladesh,Batter,Right hand Bat,Right arm Fast medium
Sam Billings,England,Wicketkeeper Batter,Right hand Bat,
Sam Harper,Australia,Top order Batter,Right hand Bat,
Sam Heazlett,Australia,Batter,Left hand Bat,Slow Left arm Orthodox
Sam Northeast,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Sam Robson,England,Opening Batter,Right hand Bat,Legbreak
Sam Whiteman,Australia,Wicketkeeper Batter,Left hand Bat,
Sameen Gul,Pakistan,Bowler,Right hand Bat,Right arm Medium
Sameer Dighe,India,Wicketkeeper Batter,Right hand Bat,
Sameera de Zoysa,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Sami Aslam,Pakistan,Opening Batter,Left hand Bat,Right arm Medium
Samit Patel,England,Allrounder,Right hand Bat,Slow Left arm Orthodox
Samiullah Khan,Pakistan,Bowler,Right hand Bat,Left arm Medium fast
Samiullah Shinwari,Afghanistan,Allrounder,Right hand Bat,Legbreak
Sammu Ashan,Sri Lanka,Top order Batter,Right hand Bat,Right arm Offbreak
Samuel Badree,West Indies,Bowler,Right hand Bat,Legbreak
Sana Mir,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Sanath Jayasuriya,Sri Lanka,Allrounder,Left hand Bat,Slow Left arm Orthodox
Sandeep Patel,New Zealand,Batter,Right hand Bat,Right arm Medium fast
Sandeep Patil,India,Allrounder,Right hand Bat,Right arm Medium
Sandeep Sharma,India,Bowler,Right hand Bat,Right arm Medium
Sandeep Warrier,India,Bowler,Right hand Bat,Right arm Medium
Sandun Dias,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Sandun Weerakkody,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Sanjay Manjrekar,India,Top order Batter,Right hand Bat,Right arm Offbreak
Sanjida Akter Meghla,Bangladesh,Bowler,Right hand Bat,Slow Left arm Orthodox
Sanjida Islam,Bangladesh,Top order Batter,Right hand Bat,
Sanjit Saha,Bangladesh,Bowler,Right hand Bat,Right arm Offbreak
Sanju Samson,India,Wicketkeeper Batter,Right hand Bat,
Sanjula Abeywickreme,Sri Lanka,Wicketkeeper,Left hand Bat,
Santhush Gunathilake,Sri Lanka,Batter,Right hand Bat,
Santosh Yadav,India,Bowler,Left hand Bat,Right arm Offbreak
Sanuar Hossain,Bangladesh,Middle order Batter,Right hand Bat,Right arm Offbreak
Saqib Mahmood,England,Bowler,Right hand Bat,Right arm Fast medium
Saqlain Mushtaq,Pakistan,Bowler,Right hand Bat,Right arm Offbreak
Saqlain Sajib,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Sarah Aley,Australia,Bowler,Right hand Bat,Right arm Medium
Sarah Burke,New Zealand,Bowler,Right hand Bat,Right arm Medium
Sarah Coyte,Australia,Bowler,Right hand Bat,Right arm Medium
Sarah Glenn,England,Bowling Allrounder,Right hand Bat,Legbreak
Sarah Taylor,England,Wicketkeeper Batter,Right hand Bat,
Saranga Rajaguru,Sri Lanka,Allrounder,Left hand Bat,Legbreak
Sarel Erwee,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak
Sarfaraz Ahmed,Pakistan,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Sarfaraz Khan,India,Middle order Batter,Right hand Bat,Legbreak
Sarfraz Nawaz,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Sarmin Sultana,Bangladesh,Top order Batter,Right hand Bat,
Sathya Sandeepani,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Saud Shakeel,Pakistan,Middle order Batter,Left hand Bat,Left arm Slow
Saurabh Bandekar,India,Allrounder,Right hand Bat,Right arm Medium fast
Saurabh Tiwary,India,Top order Batter,Left hand Bat,
Savin Perera,England,Opening Batter,Left hand Bat,Right arm Offbreak
Sayed Shirzad,Afghanistan,Bowler,Right hand Bat,Left arm Medium
Scott Boland,Australia,Bowler,Right hand Bat,Right arm Fast medium
Scott Borthwick,England,Batting Allrounder,Left hand Bat,Legbreak
Scott Coyte,Australia,Bowler,Left hand Bat,Right arm Fast medium
Scott Daly,Zimbabwe,Opening Batter,Right hand Bat,Right arm Slow medium
Scott Kuggeleijn,New Zealand,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Scott Styris,New Zealand,Allrounder,Right hand Bat,Right arm Medium
Sean Abbott,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Sean Davies,Zimbabwe,Middle order Batter,Left hand Bat,Right arm Medium fast
Sean Ervine,Zimbabwe,Allrounder,Left hand Bat,"Right arm Medium, Right arm Offbreak"
Sean Williams,Zimbabwe,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Seb Gotch,Australia,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Sediqullah Atal,Afghanistan,Opening Batter,Left hand Bat,
Seekkuge Prasanna,Sri Lanka,Allrounder,Right hand Bat,Legbreak
Senuran Muthusamy,South Africa,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Seth Rance,New Zealand,Bowler,Right hand Bat,Right arm Medium
Seymour Nurse,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Shabbir Ahmed,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Shabika Gajnabi,West Indies,Bowler,Right hand Bat,Right arm Medium
Shabir Noori,Afghanistan,Top order Batter,Right hand Bat,Right arm Offbreak
Shabnim Ismail,South Africa,Bowler,Left hand Bat,Right arm Fast medium
Shacaya Thomas,West Indies,Middle order Batter,Right hand Bat,
Shadab Khan,Pakistan,Allrounder,Right hand Bat,Legbreak
Shadman Islam,Bangladesh,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Shafali Verma,India,Opening Batter,Right hand Bat,Right arm Offbreak
Shafiqullah,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Shafiul Hayat Riday,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Shafiul Islam,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Shahadat Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Shahadat Hossain,Bangladesh,Batter,Right hand Bat,Right arm Offbreak
Shahbaz Ahmed,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Shahbaz Nadeem,India,Bowler,Right hand Bat,Slow Left arm Orthodox
Shaheen Shah Afridi,Pakistan,Bowler,Left hand Bat,Left arm Fast
Shahid Afridi,Pakistan,Allrounder,Right hand Bat,Legbreak Googly
Shahid Nazir,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Shahid Yousaf,Pakistan,Batter,Right hand Bat,Right arm Medium fast
Shahidullah,Afghanistan,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Shahnawaz Dahani,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Shahriar Nafees,Bangladesh,Top order Batter,Left hand Bat,
Shahzaib Hasan,Pakistan,Opening Batter,Right hand Bat,Right arm Offbreak
Shai Hope,West Indies,Wicketkeeper Batter,Right hand Bat,
Shaik Rasheed,India,Batter,Right hand Bat,Legbreak
Shakeel Ansar,Pakistan,Wicketkeeper Batter,Right hand Bat,
Shakera Selman,West Indies,Bowler,Right hand Bat,Right arm Medium
Shakib Al Hasan,Bangladesh,Allrounder,Left hand Bat,Slow Left arm Orthodox
Shakil Hossain,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Shalika Karunanayake,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Shamar Springer,West Indies,Allrounder,Right hand Bat,Right arm Fast medium
Shamarh Brooks,West Indies,Top order Batter,Right hand Bat,Legbreak
Shameera Weerasinghe,Sri Lanka,Bowler,Right hand Bat,Legbreak
Shamilia Connell,West Indies,Bowler,Right hand Bat,Right arm Fast
Shamim Hossain,Bangladesh,Allrounder,Left hand Bat,Right arm Offbreak
Shamima Sultana,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Shaminda Eranga,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Shamsur Rahman,Bangladesh,Opening Batter,Right hand Bat,
Shan Masood,Pakistan,Opening Batter,Left hand Bat,Right arm Medium fast
Shanan Stewart,New Zealand,Top order Batter,Right hand Bat,Right arm Medium
Shane Bond,New Zealand,Bowler,Right hand Bat,Right arm Fast
Shane Dowrich,West Indies,Wicketkeeper Batter,Right hand Bat,
Shane Getkate,Ireland,Allrounder,Right hand Bat,Right arm Medium fast
Shane Harwood,Australia,Bowler,Right hand Bat,Right arm Fast medium
Shane Lee,Australia,Allrounder,Right hand Bat,Right arm Medium
Shane Shillingford,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Shane Thomson,New Zealand,Allrounder,Right hand Bat,"Right arm Slow medium, Right arm Offbreak"
Shane Warne,Australia,Bowler,Right hand Bat,Legbreak Googly
Shane Watson,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Shannon Gabriel,West Indies,Bowler,Right hand Bat,Right arm Fast
Shantha Kalavitigoda,Sri Lanka,Opening Batter,Right hand Bat,
Shapoor Zadran,Afghanistan,Bowler,Left hand Bat,Left arm Fast medium
Sharafuddin Ashraf,Afghanistan,Allrounder,Right hand Bat,Slow Left arm Orthodox
Shardul Thakur,India,Bowler,Right hand Bat,Right arm Medium
Sharear Sakib,Bangladesh,Batting Allrounder,Right hand Bat,Legbreak
Shariful Islam,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
Sharjeel Khan,Pakistan,Opening Batter,Left hand Bat,Legbreak
Sharmin Akhter,Bangladesh,Opening Batter,Right hand Bat,
Shashika Dulshan,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Shaun Graf,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Shaun Marsh,Australia,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Shaun Pollock,South Africa,Allrounder,Right hand Bat,Right arm Fast medium
Shaun Tait,Australia,Bowler,Right hand Bat,Right arm Fast
Shaun Udal,England,Bowler,Right hand Bat,Right arm Offbreak
Shauna Kavanagh,Ireland,Middle order Batter,Right hand Bat,Right arm Medium
Shaunte Carrington,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Shawn Findlay,West Indies,Batter,Left hand Bat,Right arm Medium
Shawnisha Hector,West Indies,Bowler,Right hand Bat,
Shaylen Pillay,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Shayne Moseley,West Indies,Batter,Left hand Bat,Right arm Medium
Shayne O'Connor,New Zealand,Bowler,Left hand Bat,Left arm Fast medium
Shehan Jayasuriya,Sri Lanka,Batting Allrounder,Left hand Bat,Right arm Offbreak
Shehan Madushanka,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Sheldon Cottrell,West Indies,Bowler,Right hand Bat,Left arm Fast medium
Shemaine Campbelle,West Indies,Middle order Batter,Right hand Bat,Right arm Medium fast
Sheneta Grimmond,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Sherfane Rutherford,West Indies,Middle order Batter,Left hand Bat,Right arm Fast medium
Shermon Lewis,West Indies,Bowler,Right hand Bat,Right arm Fast
Sherwin Campbell,West Indies,Opening Batter,Right hand Bat,Right arm Medium
Shevon Daniel,Sri Lanka,Top order Batter,Left hand Bat,Right arm Offbreak
Shiam Hossain Dipu,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Shikha Pandey,India,Allrounder,Right hand Bat,Right arm Medium
Shikhar Dhawan,India,Opening Batter,Left hand Bat,Right arm Offbreak
Shimron Hetmyer,West Indies,Top order Batter,Left hand Bat,
Shingi Masakadza,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Shiv Sunder Das,India,Opening Batter,Right hand Bat,Right arm Medium
Shivam Dube,India,Allrounder,Left hand Bat,Right arm Medium
Shivlal Yadav,India,Bowler,Right hand Bat,Right arm Offbreak
Shivnarine Chanderpaul,West Indies,Batter,Left hand Bat,Legbreak
Shoaib Akhtar,Pakistan,Bowler,Right hand Bat,Right arm Fast
Shoaib Khan,Pakistan,Opening Batter,Left hand Bat,Right arm Medium fast
Shoaib Malik,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Shoaib Mohammad,Pakistan,Opening Batter,Right hand Bat,Right arm Offbreak
Shohidul Islam,Bangladesh,Bowler,Right hand Bat,Right arm Medium
Shoriful Islam,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
Shorna Akter,Bangladesh,Allrounder,Right hand Bat,Legbreak
Shreevats Goswami,India,Wicketkeeper Batter,Left hand Bat,
Shreyas Gopal,India,Allrounder,Right hand Bat,Legbreak
Shreyas Iyer,India,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Shubhang Hegde,India,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Shuvagata Hom,Bangladesh,Batting Allrounder,Right hand Bat,Right arm Offbreak
Shykat Ali,Bangladesh,Allrounder,Right hand Bat,Right arm Medium
Sibonelo Makhanya,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Sidath Wettimuny,Sri Lanka,Opening Batter,Right hand Bat,Right arm Medium
Siddarth Kaul,India,Bowler,Right hand Bat,Right arm Medium
Siddharth Trivedi,India,Bowler,Right hand Bat,Right arm Medium
Sidra Ameen,Pakistan,Opening Batter,Right hand Bat,Right arm Medium fast
Sidra Nawaz,Pakistan,Wicketkeeper Batter,Right hand Bat,
Sikandar Raza,Zimbabwe,Batting Allrounder,Right hand Bat,Right arm Offbreak
Sikander Bakht,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Simi Singh,Ireland,Bowling Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Simon Davis,Australia,Bowler,Right hand Bat,Right arm Fast medium
Simon Doull,New Zealand,Bowler,Right hand Bat,Right arm Medium
Simon Harmer,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Simon Katich,Australia,Batter,Left hand Bat,Left arm Wrist spin
Simon Keen,Australia,Batting Allrounder,Left hand Bat,Right arm Medium
Simon Kerrigan,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Simon O'Donnell,Australia,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Simran Bahadur,India,Bowling Allrounder,Left hand Bat,Right arm Medium
Sinalo Jafta,South Africa,Wicketkeeper,Right hand Bat,
Sinethemba Qeshile,South Africa,Top order Batter,Right hand Bat,
Sisanda Magala,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Smit Patel,India,Wicketkeeper,Right hand Bat,
Smriti Mandhana,India,Opening Batter,Left hand Bat,Right arm Offbreak
Sneh Rana,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Snehal Pradhan,India,Middle order Batter,Right hand Bat,Right arm Medium fast
Sobhana Mostary,Bangladesh,Middle order Batter,Right hand Bat,Right arm Medium
Sohag Gazi,Bangladesh,Bowler,Right hand Bat,Right arm Offbreak
Sohaib Maqsood,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Sohail Khan,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Sohail Tanvir,Pakistan,Bowler,Left hand Bat,Left arm Medium fast
Sohrawordi Shuvo,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Solomon Mire,Zimbabwe,Batter,Right hand Bat,Right arm Medium fast
Somachandra De Silva,Sri Lanka,Bowler,Right hand Bat,Legbreak Googly
Sonia Odedra,England,Allrounder,Right hand Bat,Right arm Medium fast
Sonny Baker,England,Bowler,Right hand Bat,Right arm Fast medium
Sonny Ramadhin,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Sophia Dunkley,England,Batting Allrounder,Right hand Bat,Legbreak
Sophie Devine,New Zealand,Batting Allrounder,Right hand Bat,Right arm Medium
Sophie Ecclestone,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Sophie Molineux,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Soumya Sarkar,Bangladesh,Middle order Batter,Left hand Bat,Right arm Medium fast
Sourav Ganguly,India,Batter,Left hand Bat,Right arm Medium
Sourav Sarkar,India,Bowler,Right hand Bat,Right arm Medium
Sravanthi Naidu,India,Middle order Batter,Right hand Bat,Left arm Slow
Sreenath Aravind,India,Bowler,Left hand Bat,Left arm Medium fast
Srikar Bharat,India,Wicketkeeper Batter,Right hand Bat,
Srikkanth Anirudha,India,Top order Batter,Right hand Bat,
Srinivas Venkataraghavan,India,Bowler,Right hand Bat,Right arm Offbreak
Stafanie Taylor,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Stanley McAlindon,England,Bowler,Right hand Bat,Right arm Fast medium
Stella Campbell,Australia,Bowler,Right hand Bat,Right arm Medium
Stephen Boock,New Zealand,Bowler,Right hand Bat,Slow Left arm Orthodox
Stephen Cook,South Africa,Opening Batter,Right hand Bat,Right arm Medium
Stephen Doheny,Ireland,Opening Batter,Right hand Bat,
Stephen Fleming,New Zealand,Top order Batter,Left hand Bat,
Stephen Parry,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Steve Elworthy,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Steve Harmison,England,Bowler,Right hand Bat,Right arm Fast medium
Steve O'Keefe,Australia,Allrounder,Right hand Bat,Slow Left arm Orthodox
Steve Palframan,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Steve Smith,Australia,Opening Batter,Right hand Bat,
Steve Waugh,Australia,Middle order Batter,Right hand Bat,Right arm Medium
Steven Davies,England,Wicketkeeper,Left hand Bat,
Steven Finn,England,Bowler,Right hand Bat,Right arm Fast medium
Steven Jacobs,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Steven Katwaroo,West Indies,Wicketkeeper Batter,Right hand Bat,
Steven Mullaney,England,Batting Allrounder,Right hand Bat,Right arm Medium
Steven Smith,Australia,Middle order Batter,Right hand Bat,Legbreak Googly
Stiaan van Zyl,South Africa,Batting Allrounder,Left hand Bat,Right arm Medium
Stuart Binny,India,Allrounder,Right hand Bat,Right arm Medium
Stuart Broad,England,Bowler,Left hand Bat,Right arm Fast medium
Stuart Carlisle,Zimbabwe,Top order Batter,Right hand Bat,Right arm Medium
Stuart Clark,Australia,Bowler,Right hand Bat,Right arm Fast medium
